限时频道,#genre#
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8









广东电信,#genre#

广东卫视,http://119.123.178.170:8000/udp/239.77.1.19:5146
广东卫视,http://119.123.178.170:8000/udp/239.77.1.152:5146
广东卫视,http://119.123.178.170:8000/udp/239.77.0.166:5146
广东珠江,http://119.123.178.170:8000/udp/239.77.0.1:5146
广东珠江,http://119.123.178.170:8000/udp/239.77.0.114:5146
广东新闻,http://119.123.178.170:8000/udp/239.77.0.173:5146
广东民生,http://119.123.178.170:8000/udp/239.77.0.225:5146
广东体育,http://119.123.178.170:8000/udp/239.77.0.112:5146
广东体育,http://119.123.178.170:8000/udp/239.77.0.168:5146
广东经济科教,http://119.123.178.170:8000/udp/239.77.0.85:5146
广东经济科教,http://119.123.178.170:8000/udp/239.77.0.167:5146
广东南方卫视,http://119.123.178.170:8000/udp/239.77.0.215:5146
广东影视,http://119.123.178.170:8000/udp/239.77.0.217:5146
广东少儿,http://119.123.178.170:8000/udp/239.77.0.250:5146
广东嘉佳卡通,http://119.123.178.170:8000/udp/239.77.0.179:5146
广东岭南戏曲,http://119.123.178.170:8000/udp/239.77.0.16:5146
广东现代教育,http://119.123.178.170:8000/udp/239.77.0.18:5146
广东移动,http://119.123.178.170:8000/udp/239.77.0.20:5146
广州综合,http://119.123.178.170:8000/udp/239.253.43.71:5146
广州新闻,http://119.123.178.170:8000/udp/239.253.43.72:5146
广州影视,http://119.123.178.170:8000/udp/239.253.43.73:5146
广州法治,http://119.123.178.170:8000/udp/239.253.43.74:5146
深圳卫视,http://119.123.178.170:8000/udp/239.77.1.148:5146
深圳卫视,http://119.123.178.170:8000/udp/239.77.0.92:5146
深圳卫视,http://119.123.178.170:8000/udp/239.77.0.130:5146
深圳都市,http://119.123.178.170:8000/udp/239.77.1.176:5146
深圳都市,http://119.123.178.170:8000/udp/239.77.1.124:5146
深圳电视剧,http://119.123.178.170:8000/udp/239.77.1.177:5146
深圳电视剧,http://119.123.178.170:8000/udp/239.77.1.125:5146
深圳财经生活,http://119.123.178.170:8000/udp/239.77.1.242:5146
深圳娱乐,http://119.123.178.170:8000/udp/239.77.1.243:5146
深圳体育健康,http://119.123.178.170:8000/udp/239.77.1.128:5146
深圳体育健康,http://119.123.178.170:8000/udp/239.77.1.140:5146
深圳少儿,http://119.123.178.170:8000/udp/239.77.1.244:5146
深圳公共,http://119.123.178.170:8000/udp/239.77.1.178:5146
深圳公共,http://119.123.178.170:8000/udp/239.77.1.126:5146
深圳宝安,http://119.123.178.170:8000/udp/239.77.1.67:5146
深圳龙岗,http://119.123.178.170:8000/udp/239.77.1.223:5146
深圳众创,http://119.123.178.170:8000/udp/239.77.1.247:5146
深圳移动电视,http://119.123.178.170:8000/udp/239.77.1.175:5146
潮州综合,http://119.123.178.170:8000/udp/239.253.43.70:5146
潮州民生,http://119.123.178.170:8000/udp/239.253.43.75:5146 
梅州综合,http://119.123.178.170:8000/udp/239.253.43.123:5146 
梅州客家,http://119.123.178.170:8000/udp/239.253.43.124:5146 
韶关新闻综合,http://119.123.178.170:8000/udp/239.77.0.117:5146
韶关绿色生活,http://119.123.178.170:8000/udp/239.77.0.119:5146
湛江新闻综合,http://119.123.178.170:8000/udp/239.77.0.141:5146
湛江公共,http://119.123.178.170:8000/udp/239.77.0.140:5146
揭阳综合,http://119.123.178.170:8000/udp/239.77.0.229:5146
揭阳公共,http://119.123.178.170:8000/udp/239.77.0.251:5146
江门综合,http://119.123.178.170:8000/udp/239.77.0.201:5146
江门侨乡生活,http://119.123.178.170:8000/udp/239.77.0.202:5146
惠州综合,http://119.123.178.170:8000/udp/239.77.1.232:5146
惠州生活,http://119.123.178.170:8000/udp/239.77.1.233:5146
汕尾新闻,http://119.123.178.170:8000/udp/239.77.0.25:5146
汕尾文化,http://119.123.178.170:8000/udp/239.77.0.187:5146
珠海综合,http://119.123.178.170:8000/udp/239.77.0.155:5146
珠海生活,http://119.123.178.170:8000/udp/239.77.0.154:5146
肇庆综合,http://119.123.178.170:8000/udp/239.253.43.1:5146
肇庆生活,http://119.123.178.170:8000/udp/239.253.43.2:5146
河源综合,http://119.123.178.170:8000/udp/239.253.43.213:5146
河源公共,http://119.123.178.170:8000/udp/239.253.43.214:5146
汕头综合,http://119.123.178.170:8000/udp/239.77.1.130:5146
汕头综合,http://119.123.178.170:8000/udp/239.253.43.45:5146
汕头经济生活,http://119.123.178.170:8000/udp/239.77.1.131:5146
汕头经济生活,http://119.123.178.170:8000/udp/239.253.43.46:5146
汕头文旅体育,http://119.123.178.170:8000/udp/239.77.1.132:5146
汕头文旅体育,http://119.123.178.170:8000/udp/239.253.43.47:5146
清远新闻综合,http://119.123.178.170:8000/udp/239.253.43.33:5146
清远公共,http://119.123.178.170:8000/udp/239.253.43.34:5146
云浮综合,http://119.123.178.170:8000/udp/239.77.0.253:5146
云浮文旅,http://119.123.178.170:8000/udp/239.77.0.254:5146
茂名综合,http://119.123.178.170:8000/udp/239.77.0.206:5146
茂名公共,http://119.123.178.170:8000/udp/239.77.0.207:5146
佛山综合,http://119.123.178.170:8000/udp/239.253.43.57:5146
佛山公共,http://119.123.178.170:8000/udp/239.253.43.53:5146
佛山影视,http://119.123.178.170:8000/udp/239.253.43.56:5146
佛山顺德,http://119.123.178.170:8000/udp/239.253.43.55:5146
佛山南海,http://119.123.178.170:8000/udp/239.253.43.54:5146
中山综合,http://119.123.178.170:8000/udp/239.253.43.62:5146
香山文化,http://119.123.178.170:8000/udp/239.253.43.63:5146
东莞新闻综合,http://119.123.178.170:8000/udp/239.253.43.104:5146
东莞生活资讯,http://119.123.178.170:8000/udp/239.253.43.105:5146
CCTV1,http://119.123.178.170:8000/udp/239.77.1.17:5146
CCTV1,http://119.123.178.170:8000/udp/239.77.1.144:5146
CCTV1,http://119.123.178.170:8000/udp/239.77.0.86:5146
CCTV1,http://119.123.178.170:8000/udp/239.77.0.129:5146
CCTV2,http://119.123.178.170:8000/udp/239.77.1.158:5146
CCTV2,http://119.123.178.170:8000/udp/239.253.43.17:5146
CCTV2,http://119.123.178.170:8000/udp/239.77.0.137:5146
CCTV3,http://119.123.178.170:8000/udp/239.77.0.169:5146
CCTV3,http://119.123.178.170:8000/udp/239.77.0.175:5146
CCTV4,http://119.123.178.170:8000/udp/239.77.1.163:5146
CCTV4,http://119.123.178.170:8000/udp/239.77.1.166:5146
CCTV4,http://119.123.178.170:8000/udp/239.77.0.78:5146
CCTV5,http://119.123.178.170:8000/udp/239.77.0.241:5146
CCTV5,http://119.123.178.170:8000/udp/239.77.0.170:5146
CCTV5,http://119.123.178.170:8000/udp/239.77.0.177:5146
CCTV5+,http://119.123.178.170:8000/udp/239.77.0.87:5146
CCTV5+,http://119.123.178.170:8000/udp/239.77.1.31:5146
CCTV5+,http://119.123.178.170:8000/udp/239.77.1.147:5146
CCTV6,http://119.123.178.170:8000/udp/239.77.0.171:5146
CCTV6,http://119.123.178.170:8000/udp/239.77.0.178:5146
CCTV7,http://119.123.178.170:8000/udp/239.77.1.159:5146
CCTV7,http://119.123.178.170:8000/udp/239.77.1.167:5146
CCTV7,http://119.123.178.170:8000/udp/239.77.0.138:5146
CCTV8,http://119.123.178.170:8000/udp/239.77.0.172:5146
CCTV8,http://119.123.178.170:8000/udp/239.77.0.181:5146
CCTV9,http://119.123.178.170:8000/udp/239.77.1.160:5146
CCTV9,http://119.123.178.170:8000/udp/239.77.1.168:5146
CCTV9,http://119.123.178.170:8000/udp/239.77.0.135:5146
CCTV10,http://119.123.178.170:8000/udp/239.77.1.113:5146
CCTV10,http://119.123.178.170:8000/udp/239.77.1.169:5146
CCTV10,http://119.123.178.170:8000/udp/239.77.0.134:5146
CCTV11,http://119.123.178.170:8000/udp/239.77.1.238:5146
CCTV12,http://119.123.178.170:8000/udp/239.77.1.109:5146
CCTV12,http://119.123.178.170:8000/udp/239.77.1.170:5146
CCTV12,http://119.123.178.170:8000/udp/239.77.0.136:5146
CCTV13,http://119.123.178.170:8000/udp/239.77.0.188:5146
CCTV13,http://119.123.178.170:8000/udp/239.253.43.196:5146
CCTV14,http://119.123.178.170:8000/udp/239.77.1.161:5146
CCTV14,http://119.123.178.170:8000/udp/239.77.1.171:5146
CCTV14,http://119.123.178.170:8000/udp/239.77.0.133:5146
CCTV15,http://119.123.178.170:8000/udp/239.77.1.239:5146
CCTV16,http://119.123.178.170:8000/udp/239.77.1.76:5146
CCTV16,http://119.123.178.170:8000/udp/239.77.1.98:5146
CCTV17,http://119.123.178.170:8000/udp/239.77.1.121:5146
CCTV17,http://119.123.178.170:8000/udp/239.77.0.198:5146
CCTV-4K,http://119.123.178.170:8000/udp/239.77.0.194:5146
CCTV-4K,http://119.123.178.170:8000/udp/239.77.0.174:5146
湖南卫视,http://119.123.178.170:8000/udp/239.77.1.5:5146
湖南卫视,http://119.123.178.170:8000/udp/239.77.1.129:5146
湖南卫视,http://119.123.178.170:8000/udp/239.77.0.88:5146
湖南卫视,http://119.123.178.170:8000/udp/239.77.0.127:5146
浙江卫视,http://119.123.178.170:8000/udp/239.77.1.33:5146
浙江卫视,http://119.123.178.170:8000/udp/239.77.1.150:5146
浙江卫视,http://119.123.178.170:8000/udp/239.77.0.89:5146
浙江卫视,http://119.123.178.170:8000/udp/239.77.0.125:5146
江苏卫视,http://119.123.178.170:8000/udp/239.77.1.18:5146
江苏卫视,http://119.123.178.170:8000/udp/239.77.1.149:5146
江苏卫视,http://119.123.178.170:8000/udp/239.77.0.90:5146
江苏卫视,http://119.123.178.170:8000/udp/239.77.0.126:5146
东方卫视,http://119.123.178.170:8000/udp/239.77.1.218:5146
东方卫视,http://119.123.178.170:8000/udp/239.77.1.156:5146
东方卫视,http://119.123.178.170:8000/udp/239.77.0.98:5146
安徽卫视,http://119.123.178.170:8000/udp/239.77.1.92:5146
安徽卫视,http://119.123.178.170:8000/udp/239.77.1.157:5146
安徽卫视,http://119.123.178.170:8000/udp/239.77.0.183:5146
北京卫视,http://119.123.178.170:8000/udp/239.77.1.4:5146
北京卫视,http://119.123.178.170:8000/udp/239.77.1.151:5146
北京卫视,http://119.123.178.170:8000/udp/239.77.0.91:5146
天津卫视,http://119.123.178.170:8000/udp/239.77.1.141:5146
天津卫视,http://119.123.178.170:8000/udp/239.77.1.182:5146
天津卫视,http://119.123.178.170:8000/udp/239.77.0.97:5146
天津卫视,http://119.123.178.170:8000/udp/239.77.0.131:5146
山东卫视,http://119.123.178.170:8000/udp/239.77.1.142:5146
山东卫视,http://119.123.178.170:8000/udp/239.77.1.153:5146
山东卫视,http://119.123.178.170:8000/udp/239.77.0.94:5146
山东卫视,http://119.123.178.170:8000/udp/239.77.0.132:5146
江西卫视,http://119.123.178.170:8000/udp/239.77.1.219:5146
江西卫视,http://119.123.178.170:8000/udp/239.77.0.149:5146
湖北卫视,http://119.123.178.170:8000/udp/239.77.1.93:5146
湖北卫视,http://119.123.178.170:8000/udp/239.77.1.174:5146
湖北卫视,http://119.123.178.170:8000/udp/239.77.0.95:5146
湖北卫视,http://119.123.178.170:8000/udp/239.77.0.128:5146
辽宁卫视,http://119.123.178.170:8000/udp/239.77.1.103:5146
辽宁卫视 ,http://119.123.178.170:8000/udp/239.77.0.123:5146
辽宁卫视,http://119.123.178.170:8000/udp/239.77.0.161:5146
黑龙江卫视,http://119.123.178.170:8000/udp/239.77.1.6:5146
黑龙江卫视,http://119.123.178.170:8000/udp/239.77.1.179:5146
黑龙江卫视,http://119.123.178.170:8000/udp/239.77.0.93:5146
黑龙江卫视,http://119.123.178.170:8000/udp/239.77.0.124:5146
贵州卫视,http://119.123.178.170:8000/udp/239.77.1.221:5146
贵州卫视,http://119.123.178.170:8000/udp/239.77.0.230:5146
四川卫视,http://119.123.178.170:8000/udp/239.77.1.215:5146
四川卫视,http://119.123.178.170:8000/udp/239.77.0.159:5146
四川卫视,http://119.123.178.170:8000/udp/239.77.0.163:5146
河南卫视,http://119.123.178.170:8000/udp/239.77.1.229:5146
河南卫视,http://119.123.178.170:8000/udp/239.77.0.17:5146
云南卫视,http://119.123.178.170:8000/udp/239.253.43.37:5146
云南卫视,http://119.123.178.170:8000/udp/239.253.43.100:5146
